Data,ABEV3,ALOS3,AMOB3,ASAI3,AURE3,AZUL4,AZZA3,B3SA3,BBAS3,BBDC3,BBDC4,BBSE3,BEEF3,BPAC11,BRAP4,BRAV3,BRFS3,BRKM5,CCRO3,CMIG4,CMIN3,COGN3,CPFE3,CPLE6,CRFB3,CSAN3,CSNA3,CVCB3,CXSE3,CYRE3,EGIE3,ELET3,ELET6,EMBR3,ENEV3,ENGI11,EQTL3,FLRY3,GGBR4,GOAU4,HAPV3,HYPE3,IGTI11,IRBR3,ISAE4,ITSA4,ITUB4,JBSS3,KLBN11,LREN3,LWSA3,MGLU3,MRFG3,MRVE3,MULT3,NTCO3,PCAR3,PETR3,PETR4,PETZ3,POMO4,PRIO3,PSSA3,RADL3,RAIL3,RAIZ4,RDOR3,RECV3,RENT3,SANB11,SBSP3,SLCE3,SMTO3,STBP3,SUZB3,TAEE11,TIMS3,TOTS3,UGPA3,USIM5,VALE3,VAMO3,VBBR3,VIVA3,VIVT3,WEGE3,YDUQ3
03/01/2018 00:00:00,"16,97","30,56","23,50","13,74","12,83","27,06","49,66","5,99","10,42","12,34","13,38","16,14","8,47","3,80","4,97","21,00","34,27","33,08","13,35","1,67","5,67","17,19","12,51","1,50","13,18","8,85","5,65","40,11","7,33","8,86","17,49","14,83","15,31","21,08","3,54","19,86","12,19","19,76","6,73","3,42","82,51","27,27","18,48","252,87","4,33","6,63","22,38","6,49","11,51","24,20","5,01","21,91","4,75","10,42","19,46","35,05","8,49","5,60","4,70","14,40","2,96","1,74","12,24","15,83","12,49","6,38","61,88","11,47","19,06","19,84","27,94","3,10","14,78","2,64","16,15","10,23","9,09","9,41","14,16","7,77","24,46","7,02","13,59","21,63","8,99","8,47","27,84"
04/01/2018 00:00:00,"16,87","30,56","23,50","13,74","12,83","27,23","51,23","6,03","10,52","12,57","13,60","16,18","8,44","3,82","5,11","21,00","34,64","33,58","13,40","1,65","5,67","17,43","12,42","1,50","12,94","8,83","5,83","40,43","7,33","8,94","17,27","14,73","15,53","21,58","3,51","19,54","12,04","19,36","7,09","3,54","82,51","27,47","18,48","255,05","4,21","6,75","22,85","6,51","11,53","24,33","5,01","22,44","4,75","10,35","19,43","35,05","8,49","5,65","4,70","14,40","3,05","1,80","12,25","15,95","12,51","6,38","61,88","11,47","19,34","20,08","27,40","3,09","14,76","2,61","16,19","10,07","9,05","9,35","14,32","8,21","24,56","7,02","13,59","21,63","9,09","8,39","27,72"
05/01/2018 00:00:00,"16,94","30,56","23,50","13,74","12,83","27,20","49,51","6,11","10,52","12,57","13,68","16,29","8,54","3,88","5,23","21,00","36,34","34,40","13,46","1,65","5,67","17,39","12,22","1,52","12,85","8,92","5,96","40,23","7,33","9,07","17,36","14,59","15,14","20,44","3,53","19,83","12,15","19,64","7,00","3,55","82,51","27,73","18,48","258,35","4,28","6,76","22,91","6,56","11,42","24,18","5,01","22,00","4,79","10,50","19,58","35,05","8,49","5,69","4,73","14,40","3,01","1,90","12,48","16,23","12,49","6,38","61,88","11,47","19,05","20,29","27,71","3,15","14,60","2,70","16,15","10,12","9,13","9,56","14,35","7,86","24,94","7,02","13,59","21,63","9,11","8,42","27,34"
08/01/2018 00:00:00,"16,91","30,56","23,50","13,74","12,83","26,91","48,90","6,14","10,54","12,57","13,67","16,38","8,25","3,93","5,32","21,00","36,77","34,46","13,27","1,66","5,67","16,62","12,41","1,53","12,51","8,85","6,25","40,06","7,33","9,12","17,46","14,69","15,17","20,49","3,45","19,50","12,31","19,13","7,25","3,60","82,51","27,44","18,48","262,55","4,25","6,76","22,84","6,57","11,63","24,06","5,01","22,00","4,70","10,29","19,33","35,05","8,49","5,78","4,79","14,40","2,95","2,04","12,42","16,02","12,64","6,38","61,88","11,47","18,96","20,68","28,28","3,13","14,52","2,61","16,54","10,07","9,00","9,55","14,45","7,94","25,50","7,02","13,59","21,63","9,21","8,49","27,44"
09/01/2018 00:00:00,"16,86","30,56","23,50","13,74","12,83","26,80","48,59","6,05","10,44","12,47","13,55","16,32","8,23","3,90","5,26","21,00","36,91","34,54","13,28","1,62","5,67","16,82","12,45","1,52","12,39","8,60","6,42","40,51","7,33","9,08","17,46","14,11","14,53","20,02","3,47","19,74","12,31","18,58","7,29","3,59","82,51","27,59","18,48","262,17","4,28","6,65","22,59","6,35","11,50","24,20","5,01","21,47","4,64","10,35","19,39","35,05","8,49","5,78","4,79","14,40","2,94","1,83","12,51","15,80","12,24","6,38","61,88","11,47","18,81","20,54","27,89","3,13","14,50","2,47","16,71","9,88","9,01","9,55","14,39","8,03","25,40","7,02","13,59","21,63","9,18","8,63","26,98"
10/01/2018 00:00:00,"16,86","30,56","23,50","13,74","12,83","26,45","48,63","6,00","10,40","12,39","13,40","16,26","8,23","3,88","5,21","21,00","36,20","34,16","12,95","1,65","5,67","17,15","13,04","1,52","12,16","8,44","6,44","40,52","7,33","8,89","17,39","13,54","13,93","20,08","3,40","19,11","12,22","19,18","7,19","3,60","82,51","27,48","18,48","262,10","4,26","6,65","22,51","6,36","11,28","23,55","5,01","21,69","4,63","10,37","19,29","35,05","8,49","5,67","4,72","14,40","2,95","1,80","12,78","15,31","12,21","6,38","61,88","11,47","18,77","20,50","27,33","3,21","14,33","2,50","16,80","9,75","8,80","9,53","14,28","8,03","25,05","7,02","13,59","21,63","9,07","8,56","27,00"
11/01/2018 00:00:00,"17,05","30,56","23,50","13,74","12,83","26,55","49,23","6,10","10,64","12,57","13,67","16,35","8,23","3,87","5,36","21,00","36,45","35,15","12,95","1,68","5,67","16,52","13,46","1,52","12,26","8,52","6,81","40,93","7,33","9,24","17,22","13,75","14,28","20,29","3,45","19,30","12,29","18,79","7,77","3,78","82,51","27,59","18,48","270,05","4,20","6,76","22,98","6,43","11,21","23,66","5,01","21,73","4,64","10,53","19,53","35,05","8,49","5,81","4,85","14,40","2,98","1,98","13,04","15,53","12,47","6,38","61,88","11,47","19,17","20,80","27,69","3,22","14,29","2,52","16,74","9,68","8,84","9,52","14,34","8,46","25,54","7,02","13,59","21,63","9,43","8,73","27,83"
12/01/2018 00:00:00,"16,86","30,56","23,50","13,74","12,83","26,40","48,46","6,07","10,66","12,57","13,67","16,39","8,07","3,88","5,40","21,00","36,64","35,47","13,04","1,66","5,67","15,81","13,15","1,49","12,53","8,68","6,60","40,54","7,33","9,31","17,31","13,44","14,08","20,04","3,47","19,36","12,39","18,68","7,77","3,88","82,51","28,13","18,48","277,47","4,27","6,77","22,96","6,45","11,06","23,86","5,01","21,70","4,52","10,51","19,44","35,05","8,49","5,86","4,86","14,40","2,93","1,91","13,43","15,52","12,52","6,38","61,88","11,47","18,82","20,70","27,86","3,21","14,43","2,47","16,68","9,68","8,86","9,50","14,37","8,63","25,69","7,02","13,59","21,63","9,35","8,79","27,10"
15/01/2018 00:00:00,"17,03","30,56","23,50","13,74","12,83","26,98","50,12","6,08","10,72","12,60","13,77","16,36","8,07","3,93","5,40","21,00","36,61","36,30","13,06","1,66","5,67","15,74","13,69","1,48","12,44","8,67","6,77","40,52","7,33","9,53","17,40","13,61","14,33","19,89","3,49","19,32","12,59","18,99","7,70","3,86","82,51","27,99","18,48","281,30","4,29","6,86","23,11","6,43","11,05","24,47","5,01","22,08","4,50","10,55","19,71","35,05","8,49","5,89","4,88","14,40","2,97","1,90","13,76","15,54","12,59","6,38","61,88","11,47","19,42","20,66","27,87","3,24","14,52","2,45","16,86","9,78","9,08","9,49","14,41","8,85","25,64","7,02","13,59","21,63","9,28","8,85","26,86"
16/01/2018 00:00:00,"17,09","30,56","23,50","13,74","12,83","27,15","50,69","6,13","10,81","12,81","13,86","16,66","8,06","3,90","5,26","21,00","36,77","37,48","12,97","1,66","5,67","15,58","13,52","1,49","12,43","8,48","6,58","40,84","7,33","9,46","17,48","13,76","14,46","19,73","3,50","19,53","12,45","18,88","7,51","3,78","82,51","28,02","18,48","283,25","4,39","6,95","23,32","6,38","11,07","24,55","5,01","22,02","4,41","10,52","19,12","35,05","8,49","5,99","4,96","14,40","2,95","1,80","14,16","15,29","12,68","6,38","61,88","11,47","19,79","20,63","28,01","3,25","14,21","2,40","16,83","9,73","8,76","9,64","14,44","8,59","24,95","7,02","13,59","21,63","9,43","8,96","26,69"
