Data,ABEV3,ALOS3,ANIM3,ASAI3,AUAU3,AURE3,AXIA3,AZZA3,B3SA3,BBAS3,BBDC3,BBDC4,BBSE3,BEEF3,BPAC11,BRAP4,BRAV3,CBAV3,CEAB3,CMIG4,CMIN3,COGN3,CPFE3,CPLE3,CSAN3,CSMG3,CSNA3,CURY3,CVCB3,CXSE3,CYRE3,DIRR3,ECOR3,EGIE3,EMBJ3,ENEV3,ENGI11,EQTL3,EZTC3,FLRY3,GGBR4,GGPS3,GMAT3,GOAU4,HAPV3,HYPE3,IGTI11,INTB3,IRBR3,ISAE4,ITSA4,ITUB3,ITUB4,JHSF3,KLBN11,LREN3,MBRF3,MDNE3,MGLU3,MOTV3,MOVI3,MRVE3,MULT3,NATU3,ORVR3,PETR3,PETR4,POMO4,PRIO3,PSSA3,RADL3,RAIL3,RAPT4,RDOR3,RECV3,RENT3,SANB11,SAPR11,SAUD3,SBSP3,SIMH3,SLCE3,SMFT3,SMTO3,SUZB3,TAEE11,TEND3,TIMS3,TOTS3,UGPA3,USIM5,VALE3,VAMO3,VBBR3,VIVA3,VIVT3,WEGE3,YDUQ3
02/01/2023 00:00:00,"11,86","12,62","3,22","18,33",,"11,34","35,50","63,65","10,77","13,22","9,43","10,65","22,02","11,64","20,24","19,77","35,21","10,13","2,02","5,38","2,76","1,74","27,30","5,67","15,29","10,51","11,60","8,35","3,91","5,95","10,50","3,79","3,76","22,06","14,12","11,20","32,81","23,85","8,39","11,60","19,83","9,40","5,70","7,67","69,60","37,63","15,92","24,72","25,35","17,64","5,38","14,09","16,61","3,60","14,51","14,77","7,12","4,24","22,19","9,53","6,27","7,34","17,95",,"7,81","15,05","12,58","1,47","36,70","18,93","20,68","16,67","7,36","23,32","21,58","44,44","21,67","14,20","7,01","9,35","12,21","15,34","11,54","20,79","45,36","24,96","3,70","8,57","24,46","10,41","6,48","64,80","10,16","11,06","19,00","14,64","34,76","8,72"
03/01/2023 00:00:00,"11,84","12,08","3,09","17,96",,"11,14","34,83","61,67","10,41","12,97","8,99","10,12","21,33","11,31","19,28","19,62","33,54","9,74","1,94","5,25","2,73","1,66","26,96","5,62","14,66","10,36","11,46","8,18","3,67","5,93","10,03","3,66","3,59","21,86","14,38","11,03","32,34","23,27","8,20","11,17","19,87","8,94","5,36","7,60","67,65","36,00","15,07","23,77","25,35","17,22","5,25","13,82","16,27","3,55","14,65","14,42","6,98","4,12","21,76","9,32","6,01","7,17","17,37",,"7,54","14,84","12,26","1,50","34,24","18,57","20,29","16,30","7,26","22,17","20,45","43,35","21,58","13,95","6,85","9,26","11,65","15,09","11,12","20,08","46,17","24,70","3,86","8,37","23,62","10,25","6,41","64,68","9,58","10,73","18,44","14,35","33,90","8,16"
04/01/2023 00:00:00,"11,91","12,20","3,05","18,42",,"11,36","35,77","63,08","10,49","13,14","9,06","10,15","21,44","11,74","19,89","19,81","33,74","9,86","2,06","5,32","2,72","1,73","27,28","5,69","14,77","10,26","11,55","8,21","3,91","5,97","10,43","3,59","3,66","21,87","14,78","11,45","31,93","23,31","8,57","11,40","19,77","9,05","5,59","7,66","68,70","36,12","15,12","24,24","28,26","17,23","5,29","13,83","16,32","3,54","14,71","14,51","7,11","4,18","21,85","9,44","6,27","7,41","17,67",,"7,56","15,08","12,65","1,52","34,04","18,63","20,19","16,54","7,20","22,51","20,51","43,86","22,02","14,07","6,85","9,33","12,06","14,81","11,33","20,26","46,26","24,67","3,79","8,52","24,31","10,49","6,54","64,80","9,81","11,05","18,53","14,66","34,12","8,27"
05/01/2023 00:00:00,"11,94","12,59","3,02","18,32",,"11,41","35,84","63,84","10,82","13,74","9,36","10,59","21,48","11,98","20,70","20,30","36,03","10,08","2,12","5,37","2,77","1,74","27,31","5,75","15,07","10,46","12,31","8,36","4,01","5,93","10,71","3,65","3,77","21,73","14,61","11,71","31,90","23,39","8,56","11,61","20,26","9,16","5,82","7,79","71,55","36,59","15,59","24,75","27,09","17,12","5,37","14,24","16,82","3,63","14,82","14,29","7,22","4,46","22,79","9,57","6,49","7,48","18,14",,"7,69","15,57","13,11","1,58","34,91","18,81","20,82","16,65","7,30","23,81","20,49","44,22","22,37","14,23","6,86","9,56","12,54","14,94","11,39","19,83","46,55","24,77","4,17","8,44","25,42","10,63","6,92","65,89","10,06","11,10","18,72","15,06","34,20","8,38"
06/01/2023 00:00:00,"11,97","12,96","3,04","18,38",,"11,42","35,86","65,09","11,07","13,93","9,61","10,88","22,11","12,16","20,82","20,37","36,64","10,32","2,15","5,37","2,94","1,78","27,02","5,66","15,59","10,48","12,82","8,54","4,25","5,91","11,20","3,73","3,98","21,79","14,36","12,38","31,74","23,31","8,81","11,97","20,41","9,38","5,89","7,85","70,80","37,11","16,18","24,88","28,84","16,91","5,46","14,42","17,12","3,59","14,71","14,82","7,20","4,56","23,65","9,68","6,85","7,55","18,62",,"7,96","15,48","13,03","1,55","35,12","19,06","21,24","16,81","7,28","24,06","20,85","45,07","22,95","14,31","7,33","9,60","13,08","14,86","11,58","19,95","46,25","25,72","4,09","8,55","25,83","10,75","7,00","66,93","10,44","11,17","19,27","15,38","34,70","8,68"
09/01/2023 00:00:00,"12,03","13,28","3,22","18,56",,"11,23","36,12","64,43","10,92","13,79","9,63","11,02","22,22","12,23","20,62","20,63","37,12","10,81","2,16","5,51","2,91","1,79","27,27","5,61","15,52","10,59","12,87","8,43","4,47","5,95","11,10","3,64","3,97","22,33","14,62","12,04","31,76","23,63","8,68","11,60","20,83","9,21","5,82","8,03","63,00","36,97","16,21","25,41","30,88","17,03","5,50","14,46","17,24","3,54","14,77","14,85","7,11","4,49","24,24","9,66","6,82","7,55","18,39",,"8,17","15,58","13,10","1,55","35,95","19,24","21,04","16,73","7,42","23,63","21,11","45,01","22,93","14,51","7,20","9,62","13,22","14,74","11,85","19,34","46,87","26,00","4,06","8,55","26,32","10,72","7,03","67,00","10,59","11,08","19,29","15,33","34,60","8,58"
10/01/2023 00:00:00,"12,15","13,69","3,23","18,57",,"11,11","35,77","66,18","11,31","14,03","9,83","11,35","22,55","12,32","21,73","21,05","37,79","11,06","2,35","5,53","3,10","1,88","26,92","5,67","16,03","10,70","13,49","8,55","4,68","5,97","11,38","3,76","4,20","22,37","14,90","12,40","31,68","23,84","8,91","11,87","21,41","9,75","5,91","8,19","64,65","37,21","16,52","26,46","36,12","17,29","5,61","14,69","17,57","3,63","14,66","15,30","7,31","4,60","26,13","10,07","7,07","7,83","18,95",,"8,50","15,67","13,22","1,55","36,15","19,68","21,35","17,12","7,55","23,34","21,22","46,46","23,78","14,49","7,53","9,65","13,85","15,01","13,37","19,93","46,29","26,03","4,60","8,50","27,24","11,08","7,28","67,83","11,12","11,20","20,42","15,49","34,26","8,70"
11/01/2023 00:00:00,"11,94","14,18","3,29","19,07",,"11,50","37,39","67,84","11,83","14,23","9,94","11,58","22,69","13,28","21,33","21,08","42,95","11,06","2,41","5,76","3,09","1,90","27,62","5,84","16,36","10,74","13,51","8,76","4,63","5,97","11,55","3,76","4,31","22,97","15,39","12,66","32,36","24,92","8,95","12,25","21,62","9,60","5,98","8,26","69,00","38,75","16,76","27,08","34,96","17,43","5,66","15,06","17,88","3,66","14,35","15,91","7,36","4,54","25,96","10,52","6,99","7,82","19,69",,"8,73","15,87","13,33","1,55","38,96","19,75","21,58","17,49","7,70","23,60","21,34","47,71","24,61","14,63","7,77","9,76","14,01","15,19","13,46","21,10","45,61","25,99","4,53","8,37","27,54","11,45","7,24","67,59","11,56","11,32","20,24","15,62","35,22","8,64"
12/01/2023 00:00:00,"11,78","13,96","3,31","19,30",,"11,80","37,06","68,36","11,76","14,14","9,74","11,31","22,61","13,35","20,72","21,21","43,42","11,16","2,34","5,71","3,10","1,87","27,40","5,79","16,64","10,63","13,34","8,90","4,50","6,00","11,53","3,75","4,14","22,94","15,51","12,65","33,48","25,09","8,98","12,14","21,70","9,55","5,78","8,31","65,25","38,82","16,74","26,87","32,63","17,59","5,60","15,03","17,63","3,61","14,42","16,23","7,36","4,56","27,33","10,79","6,82","7,59","19,34",,"9,00","15,96","13,52","1,56","39,69","19,60","21,39","17,63","7,71","23,13","21,99","47,29","23,91","14,60","8,04","9,65","13,58","15,31","13,51","20,46","46,55","26,46","4,24","8,49","27,01","11,43","7,27","67,94","11,24","11,36","19,94","15,62","35,14","8,53"
13/01/2023 00:00:00,"11,60","13,69","3,20","19,27",,"11,58","36,37","67,63","11,58","14,17","9,77","11,27","22,55","13,97","20,15","21,07","42,76","11,18","2,23","5,63","3,13","1,82","27,19","5,79","16,12","10,32","13,31","8,85","4,24","6,13","11,24","3,68","3,97","22,36","15,55","12,60","32,24","24,66","8,60","11,65","21,82","9,53","6,01","8,29","63,75","38,16","16,22","26,12","32,05","17,42","5,56","14,86","17,54","3,52","14,37","15,39","7,13","4,31","29,39","10,63","6,53","7,19","18,99",,"8,95","15,92","13,48","1,56","38,99","19,46","21,32","17,34","7,59","22,65","21,73","46,57","23,45","14,26","7,86","9,56","13,33","15,54","13,50","19,82","46,70","26,36","4,08","8,32","26,61","10,97","7,20","68,00","11,25","11,11","19,20","15,34","35,56","8,24"
