Data,IBOV
02/01/2018 00:00:00,"77891,00"
03/01/2018 00:00:00,"77995,00"
04/01/2018 00:00:00,"78647,00"
05/01/2018 00:00:00,"79071,00"
08/01/2018 00:00:00,"79379,00"
09/01/2018 00:00:00,"78864,00"
10/01/2018 00:00:00,"78201,00"
11/01/2018 00:00:00,"79365,00"
12/01/2018 00:00:00,"79349,00"
15/01/2018 00:00:00,"79752,00"
16/01/2018 00:00:00,"79832,00"
17/01/2018 00:00:00,"81189,00"
18/01/2018 00:00:00,"80963,00"
19/01/2018 00:00:00,"81220,00"
22/01/2018 00:00:00,"81675,00"
23/01/2018 00:00:00,"80678,00"
24/01/2018 00:00:00,"83680,00"
26/01/2018 00:00:00,"85531,00"
29/01/2018 00:00:00,"84698,00"
30/01/2018 00:00:00,"84482,00"
31/01/2018 00:00:00,"84913,00"
01/02/2018 00:00:00,"85495,00"
02/02/2018 00:00:00,"84041,00"
05/02/2018 00:00:00,"81861,00"
06/02/2018 00:00:00,"83894,00"
07/02/2018 00:00:00,"82767,00"
08/02/2018 00:00:00,"81533,00"
09/02/2018 00:00:00,"80899,00"
14/02/2018 00:00:00,"83543,00"
15/02/2018 00:00:00,"84291,00"
16/02/2018 00:00:00,"84525,00"
19/02/2018 00:00:00,"84793,00"
20/02/2018 00:00:00,"85804,00"
21/02/2018 00:00:00,"86052,00"
22/02/2018 00:00:00,"86686,00"
23/02/2018 00:00:00,"87293,00"
26/02/2018 00:00:00,"87653,00"
27/02/2018 00:00:00,"86935,00"
28/02/2018 00:00:00,"85481,00"
01/03/2018 00:00:00,"85378,00"
02/03/2018 00:00:00,"85761,00"
05/03/2018 00:00:00,"86023,00"
06/03/2018 00:00:00,"85653,00"
07/03/2018 00:00:00,"85484,00"
08/03/2018 00:00:00,"84985,00"
09/03/2018 00:00:00,"86371,00"
12/03/2018 00:00:00,"86900,00"
13/03/2018 00:00:00,"86384,00"
14/03/2018 00:00:00,"86051,00"
15/03/2018 00:00:00,"84928,00"
16/03/2018 00:00:00,"84886,00"
19/03/2018 00:00:00,"83913,00"
20/03/2018 00:00:00,"84164,00"
21/03/2018 00:00:00,"84977,00"
22/03/2018 00:00:00,"84768,00"
23/03/2018 00:00:00,"84377,00"
26/03/2018 00:00:00,"85088,00"
27/03/2018 00:00:00,"83808,00"
28/03/2018 00:00:00,"83874,00"
29/03/2018 00:00:00,"85366,00"
02/04/2018 00:00:00,"84666,00"
03/04/2018 00:00:00,"84623,00"
04/04/2018 00:00:00,"84360,00"
05/04/2018 00:00:00,"85210,00"
06/04/2018 00:00:00,"84820,00"
09/04/2018 00:00:00,"83307,00"
10/04/2018 00:00:00,"84510,00"
11/04/2018 00:00:00,"85246,00"
12/04/2018 00:00:00,"85444,00"
13/04/2018 00:00:00,"84334,00"
16/04/2018 00:00:00,"82862,00"
17/04/2018 00:00:00,"84086,00"
18/04/2018 00:00:00,"85776,00"
19/04/2018 00:00:00,"85824,00"
20/04/2018 00:00:00,"85550,00"
23/04/2018 00:00:00,"85602,00"
24/04/2018 00:00:00,"85469,00"
