Mes,IPCA,Poupanca
2017-01,0.38,0.6708
2017-02,0.33,0.5304
2017-03,0.25,0.6527
2017-04,0.14,0.5
2017-05,0.31,0.5768
2017-06,-0.23,0.5539
2017-07,0.24,0.5626
2017-08,0.19,0.5512
2017-09,0.16,0.5
2017-10,0.42,0.469
2017-11,0.28,0.4273
2017-12,0.44,0.4273
2018-01,0.29,0.3994
2018-02,0.32,0.3994
2018-03,0.09,0.3855
2018-04,0.22,0.3715
2018-05,0.4,0.3715
2018-06,1.26,0.3715
2018-07,0.33,0.3715
2018-08,-0.09,0.3715
2018-09,0.48,0.3715
2018-10,0.45,0.3715
2018-11,-0.21,0.3715
2018-12,0.15,0.3715
2019-01,0.32,0.3715
2019-02,0.43,0.3715
2019-03,0.75,0.3715
2019-04,0.57,0.3715
2019-05,0.13,0.3715
2019-06,0.01,0.3715
2019-07,0.19,0.3715
2019-08,0.11,0.3434
2019-09,-0.04,0.3434
2019-10,0.1,0.3153
2019-11,0.51,0.2871
2019-12,1.15,0.2871
2020-01,0.21,0.2588
2020-02,0.25,0.2588
2020-03,0.07,0.2446
2020-04,-0.31,0.2162
2020-05,-0.38,0.2162
2020-06,0.26,0.1733
2020-07,0.36,0.1303
2020-08,0.24,0.1303
2020-09,0.64,0.1159
2020-10,0.86,0.1159
2020-11,0.89,0.1159
2020-12,1.35,0.1159
2021-01,0.25,0.1159
2021-02,0.86,0.1159
2021-03,0.93,0.1159
2021-04,0.31,0.159
2021-05,0.83,0.159
2021-06,0.53,0.2019
2021-07,0.96,0.2446
2021-08,0.87,0.2446
2021-09,1.16,0.3012
2021-10,1.25,0.3575
2021-11,0.95,0.4412
2021-12,0.73,0.4902
2022-01,0.54,0.5608
2022-02,1.01,0.5
2022-03,1.62,0.5976
2022-04,1.06,0.5558
2022-05,0.47,0.6671
2022-06,0.67,0.6491
2022-07,-0.68,0.6639
2022-08,-0.36,0.7421
2022-09,-0.29,0.6814
2022-10,0.59,0.6501
2022-11,0.41,0.6515
2022-12,0.62,0.7082
2023-01,0.53,0.7091
2023-02,0.84,0.5834
2023-03,0.71,0.7404
2023-04,0.61,0.5825
2023-05,0.23,0.7158
2023-06,-0.08,0.6808
2023-07,0.12,0.6589
2023-08,0.23,0.7171
2023-09,0.26,0.6136
2023-10,0.24,0.6061
2023-11,0.28,0.5779
2023-12,0.56,0.5693
2024-01,0.42,0.5879
2024-02,0.83,0.5079
2024-03,0.16,0.5333
2024-04,0.38,0.6028
2024-05,0.46,0.5874
2024-06,0.21,0.5367
2024-07,0.38,0.5743
2024-08,-0.02,0.5711
2024-09,0.44,0.5678
2024-10,0.56,0.5982
2024-11,0.39,0.5652
2024-12,0.52,0.5826
2025-01,0.16,0.6698
2025-02,1.31,0.6331
2025-03,0.56,0.6097
2025-04,0.43,0.6697
2025-05,0.26,0.6721
2025-06,0.24,0.6707
2025-07,0.26,0.6767
2025-08,-0.11,0.6731
2025-09,0.48,0.6751
2025-10,0.09,0.6767
2025-11,0.18,0.6642
2025-12,0.33,0.6751
2026-01,0.33,0.6727
2026-02,0.7,0.6213
2026-03,0.88,0.6744
2026-04,0.67,0.6687
2026-05,0.58,0.6695
2026-06,0.16,0.6718
2026-07,0.07,0.6738
